"year","date_bare_ground"
1975,"06/06/75"
1976,"05/15/76"
1977,"04/26/77"
1978,"06/04/78"
1979,"06/01/79"
1980,"06/07/80"
1981,"04/29/81"
1982,"06/01/82"
1983,"06/09/83"
1984,"06/04/84"
1985,"05/25/85"
1986,"05/29/86"
1987,"05/12/87"
1988,"05/15/88"
1989,"05/12/89"
1990,"05/18/90"
1991,"05/22/91"
1992,"05/03/92"
1993,"06/05/93"
1994,"05/20/94"
1995,"06/19/95"
1996,"05/20/96"
1997,"06/01/97"
1998,"05/20/98"
1999,"05/25/99"
2000,"05/10/00"
2001,"05/14/01"
2002,"04/25/02"
2003,"05/22/03"
2004,"05/08/04"
2005,"05/26/05"
2006,"05/12/06"
2007,"05/01/07"
2008,"06/01/08"
2009,"05/11/09"
2010,"05/12/10"
2011,"06/07/11"
2012,"04/23/12"
2013,"05/15/13"
2014,"05/26/14"
2015,"05/07/15"
2016,"05/18/16"
2017,"05/24/17"
2018,"05/05/18"
2019,"06/06/19"
2020,"05/08/20"
2021,"05/07/21"
