type,skewness
insect,0.433
insect,0.488
insect,0.542
insect,0.55
insect,0.425
insect,0.483
insect,0.468
insect,0.415
insect,0.207
insect,0.287
insect,1.147
insect,0.713
insect,0.572
insect,0.378
insect,1.283
insect,1.12
insect,0.44
insect,0.703
insect,0.578
insect,0.397
insect,0.407
insect,1.71
insect,0.205
insect,0.355
insect,0.845
insect,0.243
insect,0.417
insect,-0.176
insect,-0.53
insect,0.811
insect,0.562
insect,0.332
insect,0.425
insect,0.346
insect,1.154
insect,0.914
insect,0.728
insect,0.864
insect,0.094
insect,0.749
insect,0.706
insect,0.396
insect,0.317
insect,1.068
insect,0.95
insect,0.435
insect,0.262
insect,-0.35
insect,-0.378
insect,-0.099
insect,0.317
insect,0.256
insect,0.222
insect,0.472
insect,0.097
insect,0.265
insect,0.322
insect,-0.556
